code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603733,N仙鹤,造纸,浙江,30.03,0.62,6.12,484879.94,183660.47,174027.05,116773.1,1.91,0.652,4.27,4.59,20180420,56334.7,0.92,38.76,87.85,19.19,13.09,60822.0
000816,智慧农业,农用机械,江苏,0.0,13.36,14.19,673987.06,330007.94,122205.76,141436.27,1.0,-0.045,2.18,1.55,19970818,35759.96,0.25,-8.8,-876.28,11.8,-4.74,88573.0
600610,中毅达,建筑施工,上海,6489.08,3.76,10.71,219136.42,203667.13,1123.58,38262.12,0.36,0.001,1.09,4.3,19920805,-28970.09,-0.27,269.97,103.39,14.89,0.13,99529.0
002052,同洲电子,通信设备,深圳,0.0,6.23,7.46,182027.81,135483.05,25645.52,87717.52,1.18,-0.038,1.27,3.8,20060627,-82098.56,-1.1,21.68,81.28,24.36,-5.5,74102.0
300537,广信材料,染料涂料,江苏,54.23,0.7,1.93,156566.27,64386.4,18123.3,82850.06,4.29,0.35,6.37,2.7,20160830,18126.42,0.94,65.71,44.61,42.52,13.66,11800.0
603876,鼎胜新材,铝,江苏,37.2,0.65,4.3,806381.88,482989.91,224896.47,81650.1,1.9,0.634,6.43,3.67,20180418,104415.21,2.43,29.78,-18.3,9.74,2.97,59816.0
002931,锋龙股份,汽车配件,浙江,78.04,0.22,0.89,33967.37,20617.76,10713.78,5462.35,0.61,0.538,3.32,12.63,20180403,9271.44,1.04,24.62,12.35,35.62,15.26,46005.0
603301,振德医疗,医疗保健,浙江,41.52,0.25,1.0,129388.77,57607.68,53834.38,29003.0,2.9,1.218,7.46,6.78,20180412,18178.74,1.82,26.24,46.99,29.59,9.32,26371.0
603773,沃格光电,元器件,江西,27.22,0.24,0.95,102518.8,49531.05,35872.23,24988.34,2.64,0.587,11.12,5.75,20180417,43288.15,4.58,0.0,0.0,55.54,33.6,26149.0
603929,亚翔集成,装修装饰,江苏,35.07,0.97,2.13,175589.44,170806.77,2034.98,25862.38,1.21,0.189,4.79,5.54,20161230,49665.6,2.33,7.54,-27.91,8.39,6.53,14994.0
002848,高斯贝尔,通信设备,湖南,271.0,0.83,1.67,130605.22,106262.07,12566.7,7380.95,0.44,0.042,3.64,4.16,20170213,34226.55,2.05,2.79,-79.61,22.16,0.93,17355.0
002806,华锋股份,元器件,广东,146.12,0.56,1.37,59157.05,30484.75,20227.38,2658.59,0.19,0.13,2.66,9.63,20160726,18085.17,1.32,18.79,-6.24,17.44,5.79,21374.0
300657,弘信电子,元器件,福建,67.2,0.26,1.04,184841.84,111414.6,59763.01,34871.59,3.35,0.53,6.33,6.43,20170523,18206.14,1.75,0.0,0.0,13.57,3.79,11765.0
603160,汇顶科技,元器件,深圳,46.0,2.3,4.54,418883.81,385200.13,15153.24,125624.65,2.77,1.71,7.36,13.99,20161017,187336.67,4.12,34.63,26.63,47.38,26.7,25665.0
