ticker,newsPublishDate,way
783,20170930,B
2074,20170930,B
868,20170930,B
166,20170930,B
957,20170930,B
750,20170930,B
2185,20170930,B
2194,20170930,B
572,20170930,B
63,20170930,B
2249,20170930,B
2196,20170930,B
2281,20170930,B
792,20170930,B
830,20170930,B
625,20170930,B
2202,20170930,B
980,20170930,B
826,20170930,B
2193,20170930,B
838,20170930,B
2230,20170930,B
725,20170930,B
528,20170930,B
951,20170930,B
795,20170930,B
2313,20170930,B
401,20170930,B
802,20170930,B
667,20170930,B
2314,20170930,B
425,20170930,B
816,20170930,B
555,20170930,B
2146,20170930,B
2138,20170930,B
2371,20170930,B
2056,20170930,B
2068,20170930,B
2115,20170930,B
703,20170930,B
822,20170930,B
2008,20170930,B
2030,20170930,B
651,20170930,S
1,20170930,S
788,20170930,S
999,20170930,S
2219,20170930,S
2276,20170930,S
20,20170930,S
929,20170930,S
2036,20170930,S
2076,20170930,S
2029,20170930,S
927,20170930,S
2142,20170930,S
858,20170930,S
568,20170930,S
876,20170930,S
677,20170930,S
31,20170930,S
800,20170930,S
736,20170930,S
796,20170930,S
2195,20170930,S
2119,20170930,S
2172,20170930,S
2241,20170930,S
2062,20170930,S
2326,20170930,S
55,20170930,S
2288,20170930,S
2,20170930,S
718,20170930,S
2157,20170930,S
2211,20170930,S
2251,20170930,S
2174,20170930,S
2256,20170930,S
2220,20170930,S
63,20171018,B
725,20171018,B
2285,20171018,B
150,20171018,B
100,20171018,B
2352,20171018,B
2377,20171018,B
2008,20171018,B
2120,20171018,B
10,20171018,B
333,20171018,B
2050,20171018,B
166,20171018,B
2310,20171018,B
2032,20171018,B
2162,20171018,B
528,20171018,B
50,20171018,B
776,20171018,B
2364,20171018,B
687,20171018,B
2004,20171018,B
2024,20171018,B
2244,20171018,B
2121,20171018,B
2185,20171018,B
2202,20171018,B
425,20171018,B
600,20171018,B
2074,20171018,B
16,20171018,B
568,20171018,B
560,20171018,B
2040,20171018,B
2157,20171018,B
2013,20171018,B
2080,20171018,B
157,20171018,B
2304,20171018,B
963,20171018,B
2,20171018,B
858,20171018,B
968,20171018,B
625,20171018,B
2105,20171018,B
810,20171018,B
2343,20171018,B
90,20171018,B
786,20171018,B
2230,20171018,B
902,20171018,B
2241,20171018,B
2396,20171018,B
2056,20171018,B
538,20171018,B
521,20171018,B
901,20171018,B
2262,20171018,B
2020,20171018,B
951,20171018,B
69,20171018,B
596,20171018,B
2287,20171018,B
56,20171018,B
799,20171018,B
2354,20171018,B
816,20171018,B
2173,20171018,B
998,20171018,B
2273,20171018,B
921,20171018,B
909,20171018,B
895,20171018,B
2036,20171018,B
651,20171018,S
792,20171018,S
1,20171018,S
571,20171018,S
892,20171018,S
807,20171018,S
2388,20171018,S
2264,20171018,S
2340,20171018,S
2127,20171018,S
2211,20171018,S
46,20171018,S
301,20171018,S
2323,20171018,S
927,20171018,S
869,20171018,S
750,20171018,S
2142,20171018,S
2071,20171018,S
422,20171018,S
2324,20171018,S
589,20171018,S
727,20171018,S
2009,20171018,S
2115,20171018,S
707,20171018,S
783,20171018,S
488,20171018,S
2325,20171018,S
2304,20171019,B
625,20171019,B
10,20171019,B
596,20171019,B
858,20171019,B
63,20171019,B
2120,20171019,B
869,20171019,B
2352,20171019,B
963,20171019,B
877,20171019,B
686,20171019,B
538,20171019,B
687,20171019,B
595,20171019,B
620,20171019,B
2285,20171019,B
568,20171019,B
799,20171019,B
2183,20171019,B
887,20171019,B
2162,20171019,B
2387,20171019,B
333,20171019,B
50,20171019,B
977,20171019,B
825,20171019,B
2156,20171019,B
901,20171019,B
2004,20171019,B
2280,20171019,B
786,20171019,B
2050,20171019,B
2062,20171019,B
2310,20171019,B
2381,20171019,B
2032,20171019,B
2,20171019,B
935,20171019,B
672,20171019,B
2041,20171019,B
2217,20171019,B
100,20171019,B
558,20171019,B
597,20171019,B
663,20171019,B
2108,20171019,B
998,20171019,B
2249,20171019,B
2294,20171019,B
2244,20171019,B
703,20171019,B
423,20171019,B
2176,20171019,B
2195,20171019,B
2065,20171019,B
528,20171019,B
2202,20171019,B
2385,20171019,B
2008,20171019,B
639,20171019,B
651,20171019,S
619,20171019,S
783,20171019,S
