date,open,close,high,low,volume,code
2017-05-02,23.712,23.394,24.02,23.204,17241.0,300444
2017-05-03,23.267,23.431,23.802,23.186,16215.0,300444
2017-05-04,23.213,21.935,23.267,21.754,31977.0,300444
2017-05-05,21.962,21.699,22.171,21.355,20428.0,300444
2017-05-08,21.165,20.367,21.663,19.578,35474.0,300444
2017-05-09,20.186,20.911,21.119,20.032,12132.0,300444
2017-05-10,20.711,21.11,21.155,20.693,10864.0,300444
2017-05-11,20.956,20.838,21.074,20.385,9046.0,300444
2017-05-12,20.566,20.956,21.183,20.566,7144.0,300444
2017-05-15,20.965,21.119,21.409,20.965,7097.0,300444
2017-05-16,21.01,20.775,21.11,19.134,24733.0,300444
2017-05-17,20.829,20.022,21.101,19.578,48562.0,300444
2017-05-18,19.877,20.032,20.122,19.669,12022.0,300444
2017-05-19,20.004,20.113,20.24,19.904,8511.0,300444
2017-05-22,20.195,19.485,20.195,19.212,13825.0,300444
2017-05-23,19.667,19.385,19.667,19.139,9323.0,300444
2017-05-24,19.375,19.339,19.412,18.811,6917.0,300444
2017-05-25,19.294,19.539,19.721,19.166,8217.0,300444
2017-05-26,19.476,19.576,19.712,19.312,8275.0,300444
2017-05-31,19.621,19.412,19.876,19.339,5512.0,300444
2017-06-01,19.321,18.684,19.385,18.21,16991.0,300444
2017-06-02,18.684,18.684,18.793,18.028,9283.0,300444
2017-06-05,18.583,19.121,19.121,18.583,10734.0,300444
2017-06-06,19.121,19.084,19.303,18.938,4742.0,300444
2017-06-07,19.121,19.457,19.521,18.957,15018.0,300444
2017-06-08,19.321,19.594,19.749,19.303,9934.0,300444
2017-06-09,19.485,19.13,19.558,18.966,9452.0,300444
2017-06-12,19.13,18.938,19.266,18.847,5028.0,300444
2017-06-13,19.093,19.904,20.031,18.948,21226.0,300444
2017-06-14,19.913,19.667,20.368,19.64,15435.0,300444
2017-06-15,19.94,19.931,20.095,19.585,8230.0,300444
2017-06-16,19.894,19.922,20.031,19.721,6303.0,300444
2017-06-19,19.776,19.813,19.976,19.585,6723.0,300444
2017-06-20,19.849,19.749,19.94,19.403,14539.0,300444
2017-06-21,19.803,19.284,19.803,18.902,22987.0,300444
2017-06-22,19.348,18.82,19.348,18.811,12381.0,300444
2017-06-23,19.111,18.911,19.111,18.756,8309.0,300444
2017-06-26,18.82,18.993,19.011,18.647,10166.0,300444
2017-06-27,18.993,18.847,19.02,18.775,5476.0,300444
2017-06-28,18.847,18.738,18.857,18.629,3567.0,300444
2017-06-29,18.838,18.893,18.975,18.72,8553.0,300444
2017-06-30,18.893,19.539,19.649,18.866,16009.0,300444
2017-07-03,19.539,19.53,19.621,19.175,9646.0,300444
2017-07-04,19.503,19.284,19.64,19.248,7811.0,300444
2017-07-05,19.448,19.33,19.448,19.175,8038.0,300444
2017-07-06,19.375,20.468,21.033,19.321,52354.0,300444
2017-07-07,20.131,20.341,20.932,20.131,23025.0,300444
2017-07-10,20.559,21.042,21.579,20.341,32570.0,300444
2017-07-11,21.196,20.432,21.442,20.432,27025.0,300444
2017-07-12,20.55,21.288,21.542,20.55,32833.0,300444
2017-07-13,21.369,21.178,21.943,21.087,26884.0,300444
2017-07-14,21.124,20.869,21.533,20.832,12916.0,300444
2017-07-17,20.942,19.621,20.942,19.202,33086.0,300444
2017-07-18,19.576,20.259,20.35,19.303,12986.0,300444
2017-07-19,20.486,20.004,20.486,19.212,33575.0,300444
2017-07-20,19.831,21.233,21.588,19.448,41896.0,300444
2017-07-21,21.033,21.069,21.561,20.668,20671.0,300444
2017-08-01,21.81,23.18,23.18,21.41,42464.0,300444
2017-08-02,23.0,22.72,23.86,22.7,36793.0,300444
2017-08-03,22.55,22.61,22.9,22.4,16871.0,300444
2017-08-04,22.43,21.9,22.75,21.89,13384.0,300444
2017-08-07,21.95,22.01,22.29,21.3,11867.0,300444
2017-08-08,22.07,21.92,22.07,21.49,17581.0,300444
2017-08-09,21.92,21.68,21.96,21.42,18635.0,300444
2017-08-10,21.51,21.13,21.68,20.88,19361.0,300444
2017-08-11,20.9,21.15,21.2,20.89,9437.0,300444
2017-08-14,21.1,21.49,21.72,21.02,18169.0,300444
2017-08-15,21.66,21.16,21.66,20.92,21990.0,300444
2017-08-16,20.99,21.24,21.34,20.9,12120.0,300444
