date,open,close,high,low,volume,code
2017-05-05,7.364,7.16,7.364,7.035,100916.0,600552
2017-05-12,7.16,6.618,7.16,6.474,119975.0,600552
2017-05-19,6.568,7.249,7.955,6.498,417077.0,600552
2017-05-26,7.2,7.513,7.582,6.543,406454.0,600552
2017-06-02,7.533,7.741,7.841,7.11,268855.0,600552
2017-06-09,7.662,7.871,8.03,7.572,414092.0,600552
2017-06-16,7.806,7.9,8.17,7.672,306891.0,600552
2017-06-23,7.72,7.44,7.88,7.2,460067.0,600552
2017-06-30,7.44,7.72,7.9,7.3,410805.0,600552
2017-07-07,7.77,8.0,8.1,7.49,435982.0,600552
2017-07-14,7.99,7.98,8.14,7.72,400905.0,600552
2017-07-21,7.91,7.62,7.99,7.3,287753.0,600552
2017-07-28,7.62,7.71,7.89,7.52,291225.0,600552
2017-08-04,7.7,8.41,8.62,7.58,899168.0,600552
2017-08-11,8.35,7.98,8.62,7.95,533229.0,600552
2017-08-18,7.9,8.59,8.6,7.9,532758.0,600552
2017-08-25,8.7,8.48,8.97,8.3,657852.0,600552
2017-09-01,8.52,8.34,8.64,8.19,387597.0,600552
2017-09-08,8.31,8.34,8.76,8.26,503687.0,600552
2017-09-15,8.24,8.19,8.39,8.11,339421.0,600552
2017-09-22,8.19,8.82,9.12,8.16,899023.0,600552
2017-09-29,8.82,9.38,9.44,8.59,678929.0,600552
2017-10-13,9.44,9.58,10.05,9.41,628264.0,600552
2017-10-20,9.6,9.09,9.7,8.77,473494.0,600552
2017-10-27,9.14,8.97,9.2,8.89,230745.0,600552
2017-11-03,8.96,8.57,9.07,8.4,243377.0,600552
2017-11-10,8.57,8.98,9.15,8.33,288067.0,600552
2017-11-17,8.98,8.12,9.09,8.1,312386.0,600552
2017-11-24,8.11,7.64,8.17,7.45,251321.0,600552
2017-11-29,7.64,7.75,7.84,7.49,118370.0,600552
