,code,name,area
0,603037,凯众股份,上海
1,000668,荣丰控股,上海
2,600675,中华企业,上海
3,600073,上海梅林,上海
4,600151,航天机电,上海
5,600009,上海机场,上海
6,002825,纳尔股份,上海
7,300336,新文化,上海
8,600605,汇通能源,上海
9,600689,上海三毛,上海
10,601727,上海电气,上海
11,300230,永利股份,上海
12,600638,新黄浦,上海
13,603515,欧普照明,上海
14,002636,金安国纪,上海
15,300627,华测导航,上海
16,002269,美邦服饰,上海
17,600653,申华控股,上海
18,600639,浦东金桥,上海
19,600838,上海九百,上海
20,600081,东风科技,上海
21,300253,卫宁健康,上海
22,600844,*ST丹科,上海
23,600210,紫江企业,上海
24,600635,大众公用,上海
25,603580,艾艾精工,上海
26,300590,移为通信,上海
27,600650,锦江投资,上海
28,300442,普丽盛,上海
29,600958,东方证券,上海
30,600833,第一医药,上海
31,002278,神开股份,上海
32,603006,联明股份,上海
33,600618,氯碱化工,上海
34,600320,振华重工,上海
35,600104,上汽集团,上海
36,600018,上港集团,上海
37,600315,上海家化,上海
38,300225,金力泰,上海
39,600601,方正科技,上海
40,603189,网达软件,上海
41,600679,上海凤凰,上海
42,603020,爱普股份,上海
43,600500,中化国际,上海
44,603690,至纯科技,上海
45,600767,*ST运盛,上海
46,600895,张江高科,上海
47,600846,同济科技,上海
48,600692,亚通股份,上海
49,600602,云赛智联,上海
50,300067,安诺其,上海
51,600665,天地源,上海
52,603157,拉夏贝尔,上海
53,601328,交通银行,上海
54,600119,长江投资,上海
55,601968,宝钢包装,上海
56,002401,中远海科,上海
57,603648,畅联股份,上海
58,600823,世茂股份,上海
59,600278,东方创业,上海
60,600150,中国船舶,上海
61,600652,游久游戏,上海
62,300171,东富龙,上海
63,603499,翔港科技,上海
64,002454,松芝股份,上海
65,300286,安科瑞,上海
66,600640,号百控股,上海
67,603200,上海洗霸,上海
68,600171,上海贝岭,上海
69,300483,沃施股份,上海
70,300272,开能环保,上海
71,603159,上海亚虹,上海
72,300609,汇纳科技,上海
73,603226,菲林格尔,上海
74,601601,中国太保,上海
75,300180,华峰超纤,上海
76,600850,华东电脑,上海
77,600611,大众交通,上海
78,601595,上海电影,上海
79,600822,上海物贸,上海
80,300245,天玑科技,上海
81,600021,上海电力,上海
82,002022,科华生物,上海
83,002252,上海莱士,上海
84,300508,维宏股份,上海
85,600732,ST新梅,上海
86,600696,*ST匹凸,上海
87,600661,新南洋,上海
88,300039,上海凯宝,上海
89,601872,招商轮船,上海
90,600532,宏达矿业,上海
91,603128,华贸物流,上海
92,603987,康德莱,上海
93,600284,浦东建设,上海
94,300327,中颖电子,上海
95,300236,上海新阳,上海
96,603196,日播时尚,上海
97,002178,延华智能,上海
98,600649,城投控股,上海
99,603868,飞科电器,上海
100,300153,科泰电源,上海
101,600826,兰生股份,上海
102,002605,姚记扑克,上海
103,600622,光大嘉宝,上海
104,600741,华域汽车,上海
105,600490,鹏欣资源,上海
106,600834,申通地铁,上海
107,300462,华铭智能,上海
108,600663,陆家嘴,上海
109,603887,城地股份,上海
110,601607,上海医药,上海
111,603131,上海沪工,上海
112,600621,华鑫股份,上海
113,603003,龙宇燃油,上海
114,603991,至正股份,上海
115,002527,新时达,上海
116,600825,新华传媒,上海
117,300501,海顺新材,上海
118,600827,百联股份,上海
119,600597,光明乳业,上海
120,600636,*ST爱富,上海
121,300511,雪榕生物,上海
122,300059,东方财富,上海
123,002116,中国海诚,上海
124,601788,光大证券,上海
125,002162,悦心健康,上海
126,603022,新通联,上海
127,300262,巴安水务,上海
128,600816,安信信托,上海
129,002324,普利特,上海
130,600637,东方明珠,上海
131,600848,上海临港,上海
132,002328,新朋股份,上海
133,600843,上工申贝,上海
134,603918,金桥信息,上海
