,code,name,c_name
0,600010,包钢股份,铁路基建
1,600169,太原重工,铁路基建
2,600268,国电南自,铁路基建
3,600416,湘电股份,铁路基建
4,600458,时代新材,铁路基建
5,600495,晋西车轴,铁路基建
6,600498,烽火通信,铁路基建
7,600525,长园集团,铁路基建
8,600528,中铁工业,铁路基建
9,600562,国睿科技,铁路基建
10,600580,卧龙电气,铁路基建
11,600592,龙溪股份,铁路基建
12,600728,佳都科技,铁路基建
13,600765,中航重机,铁路基建
14,600787,中储股份,铁路基建
15,600808,马钢股份,铁路基建
16,600820,隧道股份,铁路基建
17,600967,内蒙一机,铁路基建
18,600973,宝胜股份,铁路基建
19,601002,晋亿实业,铁路基建
20,601186,中国铁建,铁路基建
21,601390,中国中铁,铁路基建
22,601677,明泰铝业,铁路基建
23,601766,中国中车,铁路基建
24,601800,中国交建,铁路基建
25,603100,川仪股份,铁路基建
26,603111,康尼机电,铁路基建
27,603508,思维列控,铁路基建
28,603969,银龙股份,铁路基建
29,000008,神州高铁,铁路基建
30,000065,北方国际,铁路基建
31,000595,*ST宝实,铁路基建
32,000609,绵石投资,铁路基建
33,000629,*ST钒钛,铁路基建
34,000887,中鼎股份,铁路基建
35,000898,鞍钢股份,铁路基建
36,000920,南方汇通,铁路基建
37,000925,众合科技,铁路基建
38,000967,盈峰环境,铁路基建
39,000976,华铁股份,铁路基建
40,002011,盾安环境,铁路基建
41,002046,轴研科技,铁路基建
42,002122,天马股份,铁路基建
43,002152,广电运通,铁路基建
44,002161,远 望 谷,铁路基建
45,002248,*ST东数,铁路基建
46,002271,东方雨虹,铁路基建
47,002282,博深工具,铁路基建
48,002296,辉煌科技,铁路基建
49,002298,中电鑫龙,铁路基建
50,002361,神剑股份,铁路基建
51,002480,新筑股份,铁路基建
52,002501,利源精制,铁路基建
53,300001,特锐德,铁路基建
54,300011,鼎汉技术,铁路基建
55,300024,机器人,铁路基建
56,300044,赛为智能,铁路基建
57,300045,华力创通,铁路基建
58,300062,中能电气,铁路基建
59,300095,华伍股份,铁路基建
60,300150,世纪瑞尔,铁路基建
61,300200,高盟新材,铁路基建
62,300213,佳讯飞鸿,铁路基建
63,300320,海达股份,铁路基建
64,300351,永贵电器,铁路基建
65,300367,东方网力,铁路基建
66,300407,凯发电气,铁路基建
67,300411,金盾股份,铁路基建
68,300427,红相电力,铁路基建
69,300440,运达科技,铁路基建
70,300446,乐凯新材,铁路基建
71,300455,康拓红外,铁路基建
72,300462,华铭智能,铁路基建
73,300477,合纵科技,铁路基建
74,600011,华能国际,含H股
75,600012,皖通高速,含H股
76,600016,民生银行,含H股
77,600026,中远海能,含H股
78,600027,华电国际,含H股
79,600028,中国石化,含H股
80,600029,南方航空,含H股
81,600030,中信证券,含H股
