,code,name,date,nums,nlast,count,clast,amount,ratio
0,603999,读者传媒,2017-09-30,1,-19,9.00,-42.52,91.80,0.04
1,603997,继峰股份,2017-09-30,4,-13,300.44,230.69,3734.42,1.76
2,603996,中新科技,2017-09-30,1,-25,170.39,-182.65,2765.49,1.65
3,603993,洛阳钼业,2017-09-30,44,-255,18858.65,-19377.31,141058.33,1.46
4,603989,艾华集团,2017-09-30,15,-79,299.94,-2429.79,10974.89,3.55
5,603987,康德莱,2017-09-30,1,-17,0.19,-68.50,2.83,0.00
6,603986,兆易创新,2017-09-30,34,-88,1018.04,15.19,132609.54,6.91
7,603979,金诚信,2017-09-30,2,-34,8.45,-368.58,106.13,0.03
8,603968,醋化股份,2017-09-30,7,-30,404.69,-589.55,9482.00,2.96
9,603960,克来机电,2017-09-30,1,-6,9.99,-249.16,325.24,0.38
10,603959,百利科技,2017-09-30,2,-17,8.28,-137.77,223.43,0.08
11,603939,益丰药房,2017-09-30,24,-47,2288.35,-884.06,81419.48,11.52
12,603938,三孚股份,2017-09-30,1,-2002,36.00,-213.61,1099.44,0.96
13,603929,亚翔集成,2017-09-30,4,-33,203.91,90.84,5097.65,3.82
14,603920,世运电路,2017-09-30,1,-68,6.01,-17.27,129.70,0.07
15,603900,通灵珠宝,2017-09-30,1,-23,15.00,-384.08,503.70,0.18
16,603899,晨光文具,2017-09-30,33,-56,3470.10,-3096.14,72247.44,15.49
17,603898,好莱客,2017-09-30,4,-134,268.75,-3669.27,8049.09,3.02
18,603889,新澳股份,2017-09-30,3,-6,1039.28,856.75,13641.53,7.24
19,603885,吉祥航空,2017-09-30,11,-87,653.28,-3296.23,9439.87,1.22
20,603883,老百姓,2017-09-30,12,-140,1167.61,-714.97,56874.41,13.88
21,603877,太平鸟,2017-09-30,9,-43,167.02,103.00,4691.62,3.04
22,603869,北部湾旅,2017-09-30,2,-39,79.34,-1006.53,2082.62,0.71
23,603868,飞科电器,2017-09-30,15,-128,124.34,-1137.57,8089.72,2.85
24,603866,桃李面包,2017-09-30,7,-94,118.77,-847.16,4444.38,2.01
25,603858,步长制药,2017-09-30,5,-114,72.94,-110.05,4942.41,0.22
26,603833,欧派家居,2017-09-30,17,-252,1010.72,-787.29,103204.19,24.35
27,603823,百合花,2017-09-30,14,-163,51.47,-583.99,1028.36,1.14
28,603818,曲美家居,2017-09-30,3,-53,727.37,-3842.56,11085.18,5.53
29,603816,顾家家居,2017-09-30,30,-175,525.18,-3746.24,27461.67,5.89
30,603808,歌力思,2017-09-30,13,-82,1507.03,-2196.64,36213.95,13.32
31,603806,福斯特,2017-09-30,6,-108,277.76,-847.42,9738.13,0.69
32,603801,志邦股份,2017-09-30,2,-1923,150.06,-120.23,6278.60,3.75
33,603799,华友钴业,2017-09-30,160,-55,8010.54,1536.02,727638.57,29.53
34,603788,宁波高发,2017-09-30,11,-52,693.83,-682.35,28280.52,14.10
35,603766,隆鑫通用,2017-09-30,1,-141,34.74,-6771.05,281.74,0.02
36,603737,三棵树,2017-09-30,14,-44,269.58,-507.66,17773.10,8.92
37,603729,龙韵股份,2017-09-30,1,-7,13.18,-47.65,929.81,0.37
38,603728,鸣志电器,2017-09-30,7,-87,190.03,-400.84,4868.64,2.38
39,603718,海利生物,2017-09-30,1,-19,1327.07,-1021.77,17676.55,4.35
40,603716,塞力斯,2017-09-30,3,-16,19.80,-322.45,1671.91,0.52
41,603708,家家悦,2017-09-30,1,-25,30.00,-105.69,523.50,0.26
42,603698,航天工程,2017-09-30,1,-56,13.48,-215.59,326.08,0.15
43,603686,龙马环卫,2017-09-30,18,-42,1182.53,-1296.09,38727.83,10.95
44,603678,火炬电子,2017-09-30,5,-55,585.80,-2740.94,16343.88,2.46
45,603660,苏州科达,2017-09-30,31,-255,263.01,-1069.32,11488.17,5.26
46,603658,安图生物,2017-09-30,9,-89,794.33,-417.51,37317.81,5.82
47,603639,海利尔,2017-09-30,3,-37,0.36,-22.42,18.36,0.01
48,603628,清源股份,2017-09-30,1,-27,0.26,-23.18,4.64,0.00
49,603626,科森科技,2017-09-30,34,-194,771.79,-2376.09,33256.26,10.47
50,603611,诺力股份,2017-09-30,2,-46,46.29,-550.97,1180.39,0.50
51,603601,再升科技,2017-09-30,6,-15,958.42,-525.72,14308.90,4.49
52,603600,永艺股份,2017-09-30,6,-30,798.84,316.55,14467.08,7.63
53,603589,口子窖,2017-09-30,86,-66,6589.42,-746.32,322090.96,22.45
54,603588,高能环境,2017-09-30,16,-91,2565.79,-4302.84,39299.99,5.24
55,603585,苏利股份,2017-09-30,2,-22,0.31,-10.28,10.85,0.01
56,603579,荣泰健康,2017-09-30,7,-53,486.66,11.17,28713.07,13.90
57,603568,伟明环保,2017-09-30,1,-94,12.55,-648.22,274.31,0.10
58,603566,普莱柯,2017-09-30,3,-37,200.18,-1052.60,4389.92,1.23
59,603559,中通国脉,2017-09-30,2,-18,0.27,-30.94,10.78,0.01
60,603558,健盛集团,2017-09-30,2,-2,6.04,-50.61,96.70,0.05
61,603556,海兴电力,2017-09-30,13,-71,1613.45,-858.24,67829.49,12.76
62,603517,绝味食品,2017-09-30,2,-68,236.67,-606.79,8678.77,4.73
63,603515,欧普照明,2017-09-30,9,-117,512.41,-1960.91,20578.51,5.23
64,603501,韦尔股份,2017-09-30,8,-155,1.33,-23.38,32.33,0.03
65,603496,恒为科技,2017-09-30,1,-142,2.00,-10.78,73.88,0.08
66,603456,九洲药业,2017-09-30,3,-22,79.51,-1092.31,1271.32,0.18
67,603444,吉比特,2017-09-30,3,-70,14.52,-46.58,3181.48,0.82
68,603416,信捷电气,2017-09-30,2,-12,0.30,-1.51,10.94,0.01
69,603383,顶点软件,2017-09-30,2,-81,2.76,-3.85,137.42,0.13
70,603377,东方时尚,2017-09-30,3,-91,1158.10,-1726.35,36630.67,9.83
71,603369,今世缘,2017-09-30,14,-107,1294.09,-2337.24,20705.39,1.03
72,603368,柳州医药,2017-09-30,22,-126,1257.70,-2108.79,67329.79,16.86
73,603366,日出东方,2017-09-30,3,-10,369.08,-763.46,3063.41,0.46
74,603355,莱克电气,2017-09-30,17,-143,1004.21,-1370.01,51425.75,15.06
75,603345,安井食品,2017-09-30,2,-32,0.65,-40.52,16.64,0.01
76,603338,浙江鼎力,2017-09-30,22,-61,806.34,-839.13,47154.47,17.44
77,603337,杰克股份,2017-09-30,13,-54,782.81,-645.25,37097.33,15.15
78,603335,迪生力,2017-09-30,1,-1870,0.22,-416.39,2.88,0.00
79,603333,明星电缆,2017-09-30,1,-7,95.18,-164.09,679.59,0.18
80,603328,依顿电子,2017-09-30,31,-92,2068.90,-84.28,33288.58,2.10
81,603313,梦百合,2017-09-30,1,-27,1.75,-261.83,50.63,0.02
82,603308,应流股份,2017-09-30,2,-44,34.12,-558.13,478.37,0.09
83,603306,华懋科技,2017-09-30,6,-47,578.40,-724.59,17577.72,2.73
84,603305,旭升股份,2017-09-30,8,-1993,178.78,-91.78,8339.89,4.30
85,603298,杭叉集团,2017-09-30,2,-26,0.73,-13.55,14.39,0.01
86,603288,海天味业,2017-09-30,44,-67,831.53,-1057.25,39406.28,0.31
87,603239,浙江仙通,2017-09-30,3,-38,26.43,-224.06,576.01,0.39
88,603228,景旺电子,2017-09-30,17,-97,583.11,-904.33,31726.83,12.15
89,603225,新凤鸣,2017-09-30,1,-75,0.32,-25.00,11.74,0.00
90,603223,恒通股份,2017-09-30,4,-17,11.66,-323.37,308.29,0.15
91,603218,日月股份,2017-09-30,2,-13,0.33,-25.73,10.11,0.01
92,603199,九华旅游,2017-09-30,2,-17,0.20,-123.02,7.05,0.00
93,603197,保隆科技,2017-09-30,11,-90,376.84,124.60,20338.23,12.87
94,603188,亚邦股份,2017-09-30,1,-92,15.48,-1002.53,284.52,0.03
95,603186,华正新材,2017-09-30,1,-39,43.19,-621.49,1591.55,1.34
96,603180,金牌厨柜,2017-09-30,3,-29,13.40,-529.34,1123.86,0.79
97,603179,新泉股份,2017-09-30,9,-90,377.89,-1222.92,17193.92,9.48
98,603167,渤海轮渡,2017-09-30,2,-43,99.46,-1315.22,1167.66,0.21
99,603165,荣晟环保,2017-09-30,3,-25,16.41,-17.11,1136.39,0.52
100,603160,汇顶科技,2017-09-30,1,-126,68.72,-256.63,6558.16,0.30
101,603131,上海沪工,2017-09-30,1,-3,0.25,-0.76,5.78,0.01
102,603128,华贸物流,2017-09-30,5,-31,1392.70,-2002.37,12589.97,1.53
103,603123,翠微股份,2017-09-30,1,-15,110.00,-681.87,960.32,0.21
104,603118,共进股份,2017-09-30,3,-39,72.08,-935.71,990.35,0.19
105,603116,红蜻蜓,2017-09-30,2,-11,11.35,-30.84,197.42,0.06
106,603111,康尼机电,2017-09-30,19,-92,1835.99,-4581.92,27246.04,3.83
107,603108,润达医疗,2017-09-30,10,-70,2081.49,-3704.56,29265.70,9.38
108,603098,森特股份,2017-09-30,2,-18,0.86,-32.46,18.54,0.01
109,603096,新经典,2017-09-30,17,-81,1045.76,401.55,62829.12,31.35
110,603085,天成自控,2017-09-30,4,-10,226.56,-668.73,6192.56,2.87
111,603078,江化微,2017-09-30,3,-15,8.00,-151.09,627.12,0.53
112,603077,和邦生物,2017-09-30,1,-69,0.00,-3002.76,0.01,0.00
113,603040,新坐标,2017-09-30,3,-44,175.13,-614.97,11958.17,11.68
114,603039,泛微网络,2017-09-30,1,-7,1.01,-14.70,65.35,0.06
115,603030,全筑股份,2017-09-30,3,-12,247.75,-1209.86,2031.59,1.01
116,603027,千禾味业,2017-09-30,4,-30,253.35,-609.04,5882.72,1.90
117,603025,大豪科技,2017-09-30,1,-55,9.05,-108.15,275.21,0.18
118,603019,中科曙光,2017-09-30,24,-52,838.44,-925.33,30930.00,1.30
119,603011,合锻智能,2017-09-30,1,-5,255.15,-233.94,2747.95,0.62
120,603009,北特科技,2017-09-30,2,-6,923.40,446.15,13472.35,2.88
121,603008,喜临门,2017-09-30,12,-91,1418.58,-3231.25,24342.83,4.50
122,603006,联明股份,2017-09-30,2,-9,576.83,-542.68,11859.64,8.24
