,code,name,c_name
0,600097,开创国际,农林牧渔
1,600108,亚盛集团,农林牧渔
2,600127,金健米业,农林牧渔
3,600189,吉林森工,农林牧渔
4,600195,中牧股份,农林牧渔
5,600251,冠农股份,农林牧渔
6,600257,大湖股份,农林牧渔
7,600265,ST景谷,农林牧渔
8,600275,*ST昌鱼,农林牧渔
9,600313,农发种业,农林牧渔
10,600354,敦煌种业,农林牧渔
11,600359,新农开发,农林牧渔
12,600371,万向德农,农林牧渔
13,600438,通威股份,农林牧渔
14,600467,好当家,农林牧渔
15,600506,香梨股份,农林牧渔
16,600540,*ST新赛,农林牧渔
17,600598,北大荒,农林牧渔
18,600965,福成股份,农林牧渔
19,600975,新五丰,农林牧渔
20,601996,丰林集团,农林牧渔
21,603609,禾丰牧业,农林牧渔
22,000048,康达尔,农林牧渔
23,000061,农 产 品,农林牧渔
24,000592,平潭发展,农林牧渔
25,000663,永安林业,农林牧渔
26,000702,正虹科技,农林牧渔
27,000713,丰乐种业,农林牧渔
28,000735,罗 牛 山,农林牧渔
29,000798,中水渔业,农林牧渔
30,000876,新 希 望,农林牧渔
31,000998,隆平高科,农林牧渔
32,002041,登海种业,农林牧渔
33,002069,獐子岛,农林牧渔
34,002086,东方海洋,农林牧渔
35,002100,天康生物,农林牧渔
36,002124,天邦股份,农林牧渔
37,002157,正邦科技,农林牧渔
38,002173,创新医疗,农林牧渔
39,002234,民和股份,农林牧渔
40,002299,圣农发展,农林牧渔
41,002311,海大集团,农林牧渔
42,002321,华英农业,农林牧渔
43,002385,大北农,农林牧渔
44,002447,壹桥股份,农林牧渔
45,002458,益生股份,农林牧渔
46,002477,雏鹰农牧,农林牧渔
47,002505,大康农业,农林牧渔
48,002548,金新农,农林牧渔
49,002567,唐人神,农林牧渔
50,002679,福建金森,农林牧渔
51,002696,百洋股份,农林牧渔
52,002714,牧原股份,农林牧渔
53,002746,仙坛股份,农林牧渔
54,300021,大禹节水,农林牧渔
55,300087,荃银高科,农林牧渔
56,300094,国联水产,农林牧渔
57,300106,西部牧业,农林牧渔
58,300143,星普医科,农林牧渔
59,300186,大华农,农林牧渔
60,300189,神农基因,农林牧渔
61,300268,佳沃股份,农林牧渔
62,300313,天山生物,农林牧渔
63,300381,溢多利,农林牧渔
64,600060,海信电器,家电行业
65,600261,阳光照明,家电行业
66,600336,澳柯玛,家电行业
67,600690,青岛海尔,家电行业
68,600839,四川长虹,家电行业
69,600854,春兰股份,家电行业
70,600870,厦华电子,家电行业
71,600983,惠而浦,家电行业
72,603366,日出东方,家电行业
73,603519,立霸股份,家电行业
74,000016,深康佳Ａ,家电行业
75,000100,TCL 集团,家电行业
76,000333,美的集团,家电行业
77,000418,小天鹅Ａ,家电行业
78,000521,美菱电器,家电行业
79,000527,美的电器,家电行业
80,000533,万 家 乐,家电行业
81,000541,佛山照明,家电行业
82,000651,格力电器,家电行业
83,000921,海信科龙,家电行业
84,002005,德豪润达,家电行业
85,002032,苏 泊 尔,家电行业
86,002035,华帝股份,家电行业
87,002076,雪 莱 特,家电行业
88,002242,九阳股份,家电行业
89,002260,德奥通航,家电行业
90,002290,中科新材,家电行业
91,002403,爱仕达,家电行业
92,002429,兆驰股份,家电行业
93,002473,*ST圣莱,家电行业
94,002508,老板电器,家电行业
95,002543,万和电气,家电行业
96,002668,奥马电器,家电行业
97,002677,浙江美大,家电行业
98,002681,奋达科技,家电行业
99,002705,新宝股份,家电行业
100,002723,金莱特,家电行业
101,600069,银鸽投资,造纸行业
102,600103,青山纸业,造纸行业
103,600163,中闽能源,造纸行业
104,600235,民丰特纸,造纸行业
105,600308,华泰股份,造纸行业
106,600356,恒丰纸业,造纸行业
107,600433,冠豪高新,造纸行业
108,600462,九有股份,造纸行业
109,600567,山鹰纸业,造纸行业
110,600793,宜宾纸业,造纸行业
111,600963,岳阳林纸,造纸行业
112,600966,博汇纸业,造纸行业
113,000488,晨鸣纸业,造纸行业
114,000815,美利云,造纸行业
115,000820,神雾节能,造纸行业
116,000833,贵糖股份,造纸行业
117,002012,凯恩股份,造纸行业
118,002067,景兴纸业,造纸行业
119,002078,太阳纸业,造纸行业
120,002235,安妮股份,造纸行业
121,002303,美盈森,造纸行业
122,002511,中顺洁柔,造纸行业
123,002521,齐峰新材,造纸行业
124,002565,顺灏股份,造纸行业
125,600003,ST东北高,公路桥梁
126,600012,皖通高速,公路桥梁
127,600020,中原高速,公路桥梁
128,600033,福建高速,公路桥梁
129,600035,楚天高速,公路桥梁
130,600106,重庆路桥,公路桥梁
131,600269,赣粤高速,公路桥梁
132,600350,山东高速,公路桥梁
133,600368,五洲交通,公路桥梁
134,600377,宁沪高速,公路桥梁
135,600548,深高速,公路桥梁
136,601107,四川成渝,公路桥梁
137,601188,龙江交通,公路桥梁
138,601518,吉林高速,公路桥梁
139,000429,粤高速Ａ,公路桥梁
140,000548,湖南投资,公路桥梁
141,000828,东莞控股,公路桥梁
142,000886,海南高速,公路桥梁
143,000900,现代投资,公路桥梁
144,000916,华北高速,公路桥梁
145,600000,浦发银行,金融行业
146,600015,华夏银行,金融行业
147,600016,民生银行,金融行业
148,600030,中信证券,金融行业
149,600036,招商银行,金融行业
150,600109,国金证券,金融行业
151,600291,西水股份,金融行业
152,600369,西南证券,金融行业
153,600643,爱建集团,金融行业
154,600705,中航资本,金融行业
155,600816,安信信托,金融行业
156,600830,香溢融通,金融行业
157,600837,海通证券,金融行业
158,600958,东方证券,金融行业
159,600999,招商证券,金融行业
160,601009,南京银行,金融行业
161,601099,太平洋,金融行业
162,601166,兴业银行,金融行业
163,601169,北京银行,金融行业
164,601198,东兴证券,金融行业
165,601288,农业银行,金融行业
166,601318,中国平安,金融行业
167,601328,交通银行,金融行业
168,601336,新华保险,金融行业
169,601377,兴业证券,金融行业
170,601398,工商银行,金融行业
171,601555,东吴证券,金融行业
172,601601,中国太保,金融行业
173,601628,中国人寿,金融行业
174,601688,华泰证券,金融行业
175,601788,光大证券,金融行业
176,601818,光大银行,金融行业
177,601901,方正证券,金融行业
178,601939,建设银行,金融行业
179,601988,中国银行,金融行业
180,601998,中信银行,金融行业
181,000001,平安银行,金融行业
182,000166,申万宏源,金融行业
183,000415,渤海金控,金融行业
184,000562,宏源证券,金融行业
185,000563,陕国投Ａ,金融行业
186,000686,东北证券,金融行业
187,000712,锦龙股份,金融行业
188,000728,国元证券,金融行业
189,000750,国海证券,金融行业
190,000776,广发证券,金融行业
191,000783,长江证券,金融行业
192,002142,宁波银行,金融行业
193,002500,山西证券,金融行业
194,002673,西部证券,金融行业
195,002736,国信证券,金融行业
196,600055,万东医疗,医疗器械
197,600297,广汇汽车,医疗器械
198,600587,新华医疗,医疗器械
199,600763,通策医疗,医疗器械
200,603309,维力医疗,医疗器械
201,000150,宜华健康,医疗器械
202,002223,鱼跃医疗,医疗器械
203,002382,蓝帆医疗,医疗器械
204,002432,九安医疗,医疗器械
205,002551,尚荣医疗,医疗器械
206,002614,奥佳华,医疗器械
207,300003,乐普医疗,医疗器械
208,300015,爱尔眼科,医疗器械
209,300030,阳普医疗,医疗器械
210,300061,康旗股份,医疗器械
211,300171,东富龙,医疗器械
212,300206,理邦仪器,医疗器械
213,300216,千山药机,医疗器械
214,300238,冠昊生物,医疗器械
215,300244,迪安诊断,医疗器械
216,300246,宝莱特,医疗器械
217,300247,乐金健康,医疗器械
218,300273,和佳股份,医疗器械
219,300298,三诺生物,医疗器械
220,300314,戴维医疗,医疗器械
221,300318,博晖创新,医疗器械
222,300326,凯利泰,医疗器械
223,300347,泰格医药,医疗器械
224,300396,迪瑞医疗,医疗器械
225,300404,博济医药,医疗器械
226,300412,迦南科技,医疗器械
227,600073,上海梅林,食品行业
228,600186,莲花健康,食品行业
229,600191,华资实业,食品行业
230,600260,凯乐科技,食品行业
231,600298,安琪酵母,食品行业
232,600300,维维股份,食品行业
233,600305,恒顺醋业,食品行业
234,600419,天润乳业,食品行业
235,600429,三元股份,食品行业
236,600597,光明乳业,食品行业
237,600695,绿庭投资,食品行业
238,600737,中粮糖业,食品行业
239,600866,星湖科技,食品行业
240,600872,中炬高新,食品行业
241,600873,梅花生物,食品行业
242,600887,伊利股份,食品行业
243,600962,国投中鲁,食品行业
244,603020,爱普股份,食品行业
245,603288,海天味业,食品行业
246,000019,深深宝Ａ,食品行业
247,000529,广弘控股,食品行业
248,000639,西王食品,食品行业
249,000716,黑芝麻,食品行业
250,000796,凯撒旅游,食品行业
251,000848,承德露露,食品行业
252,000893,东凌国际,食品行业
253,000895,双汇发展,食品行业
254,000911,南宁糖业,食品行业
255,000930,中粮生化,食品行业
256,000972,*ST中基,食品行业
257,002216,三全食品,食品行业
258,002220,天宝食品,食品行业
259,002286,保龄宝,食品行业
260,002329,皇氏集团,食品行业
261,002330,得利斯,食品行业
262,002387,黑牛食品,食品行业
263,002481,双塔食品,食品行业
264,002495,佳隆股份,食品行业
265,002507,涪陵榨菜,食品行业
266,002515,金字火腿,食品行业
267,002557,洽洽食品,食品行业
268,002568,百润股份,食品行业
269,002570,贝因美,食品行业
270,002582,好想你,食品行业
271,002604,龙力生物,食品行业
272,002626,金达威,食品行业
273,002650,加加食品,食品行业
274,002661,克明面业,食品行业
275,002695,煌上煌,食品行业
276,002702,海欣食品,食品行业
277,002719,麦趣尔,食品行业
278,002726,龙大肉食,食品行业
279,002732,燕塘乳业,食品行业
280,300138,晨光生物,食品行业
281,300146,汤臣倍健,食品行业
282,300149,量子高科,食品行业
283,300175,朗源股份,食品行业
284,300401,花园生物,食品行业
285,600065,*ST联谊,其它行业
286,600092,S*ST精密,其它行业
287,600172,黄河旋风,其它行业
