code,name,year,report_date,divi,shares
300342,天银机电,2014,2014-06-19,0,10
2574,明牌珠宝,2014,2014-06-24,0,12
2203,海亮股份,2014,2014-06-24,0,10
300217,东方电热,2014,2014-06-26,0,10
2437,誉衡药业,2014,2014-06-26,0,15
601377,兴业证券,2014,2014-06-28,0,10
861,海印股份,2014,2014-07-01,0,10
600109,国金证券,2014,2014-07-01,0,10
300308,中际旭创,2014,2014-07-02,0,8
300220,金运激光,2014,2014-07-02,0,8
2548,金新农,2014,2014-07-02,2,12
2505,大康农业,2014,2014-07-02,0,12
300377,赢时胜,2014,2014-07-04,0,10
300304,云意电气,2014,2014-07-08,0,10
2296,辉煌科技,2014,2014-07-08,0,7
300295,三六五网,2014,2014-07-08,8,5
300232,洲明科技,2014,2014-07-10,0,10
300132,青松股份,2014,2014-07-10,0,10
2583,海能达,2014,2014-07-10,0,15
2595,豪迈科技,2014,2014-07-11,0,10
2717,岭南园林,2014,2014-07-14,0,9
2697,红旗连锁,2014,2014-07-14,0.5,10
300381,溢多利,2014,2014-07-15,0,10
705,浙江震元,2014,2014-07-17,0,10
300360,炬华科技,2014,2014-07-18,0,10
300192,科斯伍德,2014,2014-07-18,0,12
300234,开尔新材,2014,2014-07-25,0,12
300134,大富科技,2014,2014-07-25,5,2
600248,延长化建,2014,2014-07-26,1.2,0
300304,云意电气,2014,2014-07-29,1,0
600882,广泽股份,2014,2014-07-30,5,0
600711,盛屯矿业,2014,2014-07-30,0.5,15
2138,顺络电子,2014,2014-07-31,2,0
2664,信质电机,2014,2014-08-05,0,5
300195,长荣股份,2014,2014-08-05,2.2,0
2085,万丰奥威,2014,2014-08-05,5,0
601099,太平洋,2014,2014-08-05,0,5
600010,包钢股份,2014,2014-08-07,0.1,10
2004,华邦健康,2014,2014-08-09,3,0
2657,中科金财,2014,2014-08-11,0,2
2345,潮宏基,2014,2014-08-13,0,10
2605,姚记扑克,2014,2014-08-15,0,10
601928,凤凰传媒,2014,2014-08-15,1,0
672,上峰水泥,2014,2014-08-15,1.1,0
2252,上海莱士,2014,2014-08-16,0,10
300376,易事特,2014,2014-08-16,0,10
2034,美欣达,2014,2014-08-16,4,0
511,*ST烯碳,2014,2014-08-16,0.2,0
603328,依顿电子,2014,2014-08-19,0.6,0
600999,招商证券,2014,2014-08-19,1.5,0
159,国际实业,2014,2014-08-19,0.3,0
300319,麦捷科技,2014,2014-08-20,0,15
601318,中国平安,2014,2014-08-20,2.5,0
600180,瑞茂通,2014,2014-08-20,1.7,0
2568,百润股份,2014,2014-08-21,3,0
600792,云煤能源,2014,2014-08-21,0,10
2612,朗姿股份,2014,2014-08-22,4,0
2543,万和电气,2014,2014-08-22,2.5,0
300068,南都电源,2014,2014-08-22,2,0
2394,联发股份,2014,2014-08-22,2,0
534,万泽股份,2014,2014-08-22,1,0
601877,正泰电器,2014,2014-08-23,5,0
600255,梦舟股份,2014,2014-08-23,0,15
600028,中国石化,2014,2014-08-23,0.9,0
300096,易联众,2014,2014-08-25,0,15
300004,南风股份,2014,2014-08-25,0.5,0
2201,九鼎新材,2014,2014-08-25,0.2,3
2352,顺丰控股,2014,2014-08-26,3,0
2266,浙富控股,2014,2014-08-26,0.1,0
571,新大洲A,2014,2014-08-26,0.3,0
2311,海大集团,2014,2014-08-27,1,0
601238,广汽集团,2014,2014-08-27,0.8,0
600153,建发股份,2014,2014-08-27,2,0
600138,中青旅,2014,2014-08-27,1.5,5
883,湖北能源,2014,2014-08-28,0,10
600705,中航资本,2014,2014-08-28,2,10
601857,中国石油,2014,2014-08-29,1.7,0
600016,民生银行,2014,2014-08-29,0.8,0
338,潍柴动力,2014,2014-08-30,1,0
600039,四川路桥,2014,2014-08-30,0,10
2130,沃尔核材,2014,2014-09-06,0,1
600525,长园集团,2014,2014-09-11,0,1
2668,奥马电器,2014,2014-10-23,2.8,0
300134,大富科技,2014,2014-11-11,4,7
2706,良信电器,2014,2014-11-13,3.5,3
601028,玉龙股份,2014,2014-11-26,2,12
2501,利源精制,2014,2014-12-02,1.8,10
2495,佳隆股份,2014,2014-12-03,1,13.8
997,新大陆,2014,2014-12-04,0,8
600794,保税科技,2014,2014-12-06,1,12
2665,首航节能,2014,2014-12-09,1.6,15
603009,北特科技,2014,2014-12-09,2.2,0
2588,史丹利,2014,2014-12-10,5,10
300309,吉艾科技,2014,2014-12-11,1.1,10
300389,艾比森,2014,2014-12-16,5,10
2392,北京利尔,2014,2014-12-16,0.5,10
300010,立思辰,2014,2014-12-18,0.3,12
600673,东阳光科,2014,2014-12-19,0.6,16
2677,浙江美大,2014,2014-12-20,5,10
2540,亚太科技,2014,2014-12-20,0,15
2622,融钰集团,2014,2014-12-22,10,15
300195,长荣股份,2014,2014-12-23,2.5,10
300084,海默科技,2014,2014-12-23,0,12
2538,司尔特,2014,2014-12-23,1,10
300269,联建光电,2014,2014-12-23,2,15
300166,东方国信,2014,2014-12-25,0,10
2337,赛象科技,2014,2014-12-25,0,20
300139,晓程科技,2014,2014-12-25,0,15
2421,达实智能,2014,2014-12-26,1,12
601012,隆基股份,2014,2014-12-27,1,20
2358,森源电气,2014,2014-12-27,2.3,10
656,金科股份,2014,2014-12-27,1.5,20
300265,通光线缆,2014,2014-12-30,1,15
300224,正海磁材,2014,2014-12-30,1.5,10
2340,格林美,2014,2014-12-31,0.6,0
600478,科力远,2014,2015-01-01,0,8
300001,特锐德,2014,2015-01-05,1,12
300386,飞天诚信,2014,2015-01-06,7.6,12
2578,闽发铝业,2014,2015-01-06,2,15
300162,雷曼股份,2014,2015-01-06,1,15
300253,卫宁健康,2014,2015-01-06,1.3,15
300043,星辉娱乐,2014,2015-01-06,1,12
300017,网宿科技,2014,2015-01-06,1.5,12
2268,卫士通,2014,2015-01-06,0.2,10
300306,远方信息,2014,2015-01-09,2,10
300379,东方通,2014,2015-01-10,2,10
300348,长亮科技,2014,2015-01-12,1.5,15
2657,中科金财,2014,2015-01-13,0,10
2632,道明光学,2014,2015-01-13,0.5,10
2107,沃华医药,2014,2015-01-15,2.1,12
600496,精工钢构,2014,2015-01-15,0,12
300142,沃森生物,2014,2015-01-16,0.5,10
300199,翰宇药业,2014,2015-01-17,1,10
2516,旷达科技,2014,2015-01-19,1,15
603168,莎普爱思,2014,2015-01-20,7.2,15
2448,中原内配,2014,2015-01-20,2,15
300368,汇金股份,2014,2015-01-21,0.8,10
300259,新天科技,2014,2015-01-21,1,7
2292,奥飞娱乐,2014,2015-01-21,0.8,10
300396,迪瑞医疗,2014,2015-01-22,5,15
300351,永贵电器,2014,2015-01-22,2.5,12
2654,万润科技,2014,2015-01-22,0.5,0
300278,华昌达,2014,2015-01-22,0,10
300188,美亚柏科,2014,2015-01-22,0.5,10
2497,雅化集团,2014,2015-01-22,1,10
2527,新时达,2014,2015-01-22,1.7,5
519,中兵红箭,2014,2015-01-22,0.6,4
2597,金禾实业,2014,2015-01-23,3,10
300004,南风股份,2014,2015-01-23,0.5,10
600401,*ST海润,2014,2015-01-23,0,20
600593,大连圣亚,2014,2015-01-23,1.5,0
300358,楚天科技,2014,2015-01-24,3,10
300298,三诺生物,2014,2015-01-24,3.6,3
300285,国瓷材料,2014,2015-01-24,0,10
300271,华宇软件,2014,2015-01-24,1,10
300283,温州宏丰,2014,2015-01-26,1.5,10
300225,金力泰,2014,2015-01-26,1.5,8
300406,九强生物,2014,2015-01-26,5,10
300229,拓尔思,2014,2015-01-26,1,10
300328,宜安科技,2014,2015-01-27,2,10
300339,润和软件,2014,2015-01-27,1,0
600393,粤泰股份,2014,2015-01-27,1,0
600346,恒力股份,2014,2015-01-27,0,13
2684,猛狮科技,2014,2015-01-28,0,12
2590,万安科技,2014,2015-01-28,0.8,10
601339,百隆东方,2014,2015-01-28,2.2,10
300252,金信诺,2014,2015-01-28,1,15
2245,澳洋顺昌,2014,2015-01-28,0.8,12
600513,联环药业,2014,2015-01-28,0.9,0
300107,建新股份,2014,2015-01-29,0.5,10
2683,宏大爆破,2014,2015-01-29,3,15
2693,双成药业,2014,2015-01-30,1,5
300288,朗玛信息,2014,2015-01-30,0,20
2587,奥拓电子,2014,2015-01-30,1.5,7
300179,四方达,2014,2015-01-31,1,12
300057,万顺股份,2014,2015-01-31,0.9,0
300056,三维丝,2014,2015-01-31,1,0
300036,超图软件,2014,2015-01-31,1,6
300011,鼎汉技术,2014,2015-01-31,0.6,0
600463,空港股份,2014,2015-01-31,1,0
8,神州高铁,2014,2015-01-31,0,4.5
2685,华东重机,2014,2015-02-02,0.3,18
2728,特一药业,2014,2015-02-03,1.5,10
300383,光环新网,2014,2015-02-03,3,15
2214,大立科技,2014,2015-02-03,0.5,10
600577,精达股份,2014,2015-02-03,1,10
2699,美盛文化,2014,2015-02-04,1,10
300196,长海股份,2014,2015-02-04,1,0
