,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000018,神州长城,10,7876.01,6114.74,1761.28,日涨幅偏离值达到7%的前五只证券,0.25,0.07,2017-08-14
1,000023,深天地A,10.008,1038.65,812.05,226.59,日涨幅偏离值达到7%的前五只证券,1.00,0.28,2017-08-14
2,000571,新大洲A,-1.7263,46864.47,22442.70,24421.77,日振幅值达到15%的前五只证券,0.36,0.39,2017-08-14
3,000615,京汉股份,10,22365.12,12194.36,10170.75,日涨幅偏离值达到7%的前五只证券,0.07,0.06,2017-08-14
4,000615,京汉股份,10,42280.71,30607.45,11673.26,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.08,0.03,2017-08-14
5,000615,京汉股份,10,22365.12,12194.36,10170.75,日换手率达到20%的前五只证券,0.07,0.06,2017-08-14
6,002230,科大讯飞,10.0083,112697.96,76807.79,35890.17,日涨幅偏离值达到7%的前五只证券,0.13,0.06,2017-08-14
7,002405,四维图新,10.0109,28251.43,18498.49,9752.94,日涨幅偏离值达到7%的前五只证券,0.14,0.07,2017-08-14
8,002457,青龙管业,3.0525,12813.30,6413.94,6399.37,日换手率达到20%的前五只证券,0.06,0.06,2017-08-14
9,002460,赣锋锂业,10,46373.84,29926.18,16447.65,日涨幅偏离值达到7%的前五只证券,0.10,0.06,2017-08-14
10,002497,雅化集团,10.023,30953.59,22077.01,8876.57,日涨幅偏离值达到7%的前五只证券,0.16,0.06,2017-08-14
11,002600,江粉磁材,10.0396,65413.62,19954.55,45459.07,日涨幅偏离值达到7%的前五只证券,0.07,0.15,2017-08-14
12,002600,江粉磁材,10.0396,65413.62,19954.55,45459.07,日换手率达到20%的前五只证券,0.07,0.15,2017-08-14
13,002743,富煌钢构,9.978,11182.03,5263.87,5918.17,日换手率达到20%的前五只证券,0.10,0.12,2017-08-14
14,002816,和科达,-1.7534,13895.97,5361.05,8534.91,日换手率达到20%的前五只证券,0.22,0.35,2017-08-14
15,002890,弘宇股份,4.0193,4199.89,2909.58,1290.32,日换手率达到20%的前五只证券,0.17,0.08,2017-08-14
16,300088,长信科技,10,57877.67,31890.92,25986.75,日涨幅偏离值达到7%的前五只证券,0.18,0.15,2017-08-14
17,300088,长信科技,10,111207.90,49655.36,61552.53,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.10,0.12,2017-08-14
18,300128,锦富技术,9.9765,13804.57,7855.38,5949.18,日涨幅偏离值达到7%的前五只证券,0.14,0.11,2017-08-14
19,300344,太空板业,10.0286,13637.59,6191.17,7446.42,日涨幅偏离值达到7%的前五只证券,0.06,0.07,2017-08-14
20,300344,太空板业,10.0286,13637.59,6191.17,7446.42,日换手率达到20%的前五只证券,0.06,0.07,2017-08-14
21,300372,欣泰退,1.4388,140.84,69.08,71.76,退市整理期,0.42,0.43,2017-08-14
22,300500,启迪设计,10,6162.03,1974.16,4187.87,日涨幅偏离值达到7%的前五只证券,0.04,0.09,2017-08-14
23,300500,启迪设计,10,6162.03,1974.16,4187.87,日换手率达到20%的前五只证券,0.04,0.09,2017-08-14
24,300678,中科信息,10,9370.07,5870.95,3499.12,日涨幅偏离值达到7%的前五只证券,0.16,0.09,2017-08-14
25,300678,中科信息,10,9370.07,5870.95,3499.12,日换手率达到20%的前五只证券,0.16,0.09,2017-08-14
26,300682,朗新科技,0.6431,6640.15,3384.50,3255.64,日换手率达到20%的前五只证券,0.14,0.14,2017-08-14
27,300686,智动力,-3.4435,3309.05,2758.79,550.25,日换手率达到20%的前五只证券,0.09,0.02,2017-08-14
28,300686,智动力,-3.4435,3309.05,2758.79,550.25,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.09,0.02,2017-08-14
29,300690,双一科技,-5.4148,2883.32,1320.20,1563.12,日跌幅偏离值达到7%的前五只证券,0.06,0.07,2017-08-14
30,600008,首创股份,10.0649,36939.13,28921.62,8017.51,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.11,0.03,2017-08-14
31,600392,盛和资源,6.5495,49553.68,27178.80,22374.88,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.08,0.06,2017-08-14
32,600477,杭萧钢构,10.0249,23569.07,13377.38,10191.69,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.11,0.08,2017-08-14
33,600671,天目药业,-10.003,851.08,152.44,698.64,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.16,0.74,2017-08-14
34,601619,嘉泽新能,-0.3597,19945.11,13251.12,6693.98,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.12,0.06,2017-08-14
35,603089,正裕工业,-3.7298,16329.58,6459.62,9869.96,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.35,0.54,2017-08-14
36,603458,勘设股份,-6.3834,4556.90,1998.03,2558.87,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.05,0.06,2017-08-14
37,603535,嘉诚国际,-0.6882,14185.10,13003.46,1181.64,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.23,0.02,2017-08-14
38,603535,嘉诚国际,-0.6882,14185.10,13003.46,1181.64,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.23,0.02,2017-08-14
39,603602,纵横通信,10.0208,58.62,45.39,13.23,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.29,2017-08-14
40,603721,中广天择,10.0493,5.60,2.80,2.80,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,1.00,2017-08-14
41,603860,中公高科,6.8639,14370.85,6823.63,7547.22,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.25,0.28,2017-08-14
42,900910,海立B股,9.8118,260.03,153.10,106.92,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.22,0.15,2017-08-14
