date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-11-10,1.78,1.8,1.8,1.77,1019939.94,0.02,1.12,1.77,1.763,1.781,845790.3,982185.02,987195.64
2017-11-09,1.76,1.78,1.78,1.75,683479.25,0.02,1.14,1.756,1.763,1.783,910038.66,951039.91,995630.55
2017-11-08,1.76,1.78,1.76,1.75,1038650.94,0.0,0.0,1.75,1.767,1.785,942269.62,977425.28,1000741.22
2017-11-07,1.75,1.76,1.76,1.74,716435.62,0.01,0.57,1.752,1.773,1.787,920394.97,951086.31,1006195.29
2017-11-06,1.73,1.75,1.75,1.72,770445.75,0.02,1.16,1.754,1.778,1.791,956847.66,954522.33,1034546.71
2017-11-03,1.74,1.76,1.73,1.73,1341181.75,-0.02,-1.14,1.756,1.784,1.793,1118579.74,997902.79,1041152.09
2017-11-02,1.77,1.77,1.75,1.75,844634.06,-0.02,-1.13,1.77,1.79,1.796,992041.16,935012.3,1002618.72
2017-11-01,1.77,1.78,1.77,1.77,929277.69,0.0,0.0,1.784,1.792,1.796,1012580.94,936545.12,996911.54
2017-10-31,1.76,1.78,1.77,1.76,898699.06,0.01,0.57,1.794,1.793,1.796,981777.65,928223.59,991237.34
2017-10-30,1.8,1.81,1.76,1.76,1579106.12,-0.04,-2.22,1.802,1.795,1.795,952196.99,930627.56,994623.64
2017-10-27,1.82,1.82,1.8,1.8,708488.88,-0.02,-1.1,1.812,1.799,1.794,877225.84,992206.25,956029.49
2017-10-26,1.82,1.83,1.82,1.81,947332.94,0.0,0.0,1.81,1.803,1.793,877983.44,1040221.19,974567.49
2017-10-25,1.81,1.82,1.82,1.8,775261.25,0.01,0.55,1.8,1.802,1.791,860509.3,1024057.15,965446.03
2017-10-24,1.8,1.81,1.81,1.79,750795.75,0.0,0.0,1.792,1.801,1.79,874669.53,1061304.26,964782.81
2017-10-23,1.79,1.81,1.81,1.79,1204250.38,0.02,1.12,1.788,1.803,1.789,909058.14,1114571.1,984784.29
2017-10-20,1.77,1.8,1.79,1.77,712276.88,0.02,1.13,1.786,1.802,1.789,1107186.66,1084401.38,981639.69
2017-10-19,1.78,1.79,1.77,1.77,859962.25,-0.01,-0.56,1.796,1.801,1.788,1202458.94,1070225.13,990802.32
2017-10-18,1.79,1.8,1.78,1.78,846062.38,-0.01,-0.56,1.804,1.8,1.789,1187605.0,1057277.97,989754.81
