date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,6.96,6.98,6.86,6.84,219256.62,-0.09,-1.29,6.99,6.993,6.953,223039.71,199950.37,185219.34,0.4
2017-11-09,6.96,6.98,6.95,6.9,181662.0,-0.03,-0.43,7.022,7.004,6.964,222577.97,191046.83,183887.47,0.33
2017-11-08,7.04,7.08,6.98,6.95,273523.0,-0.08,-1.13,7.03,7.007,6.97,224404.27,182319.99,190306.45,0.5
2017-11-07,7.1,7.11,7.06,7.03,171307.08,-0.04,-0.56,7.028,7.007,6.974,193054.07,166276.69,189414.29,0.31
2017-11-06,7.01,7.12,7.1,6.98,269449.84,0.08,1.14,7.018,6.999,6.975,188392.96,174458.45,189456.38,0.5
2017-11-03,6.93,7.03,7.02,6.86,216947.92,0.03,0.43,6.996,6.975,6.973,176861.03,158518.57,184174.75,0.4
2017-11-02,6.96,7.0,6.99,6.85,190793.52,0.02,0.29,6.986,6.957,6.973,159515.7,146900.41,178040.13,0.35
2017-11-01,7.0,7.0,6.97,6.94,116771.97,-0.04,-0.57,6.984,6.935,6.974,140235.71,146430.55,175531.58,0.21
2017-10-31,6.98,7.04,7.01,6.93,148001.53,0.02,0.29,6.986,6.924,6.978,139499.31,151477.07,184413.87,0.27
2017-10-30,6.94,7.01,6.99,6.8,211790.19,0.02,0.29,6.98,6.913,6.982,160523.94,164039.02,183863.06,0.39
2017-10-27,6.97,7.05,6.97,6.95,130221.29,-0.01,-0.14,6.954,6.912,6.986,140176.1,170488.32,179357.26,0.24
2017-10-26,6.97,6.99,6.98,6.94,94393.55,0.0,0.0,6.928,6.923,6.992,134285.12,176728.11,189933.19,0.17
2017-10-25,6.98,7.0,6.98,6.94,113089.99,0.0,0.0,6.886,6.933,6.998,152625.39,198292.9,193542.23,0.21
2017-10-24,6.86,7.0,6.98,6.84,253124.7,0.12,1.75,6.862,6.941,7.007,163454.84,212551.9,197868.19,0.47
2017-10-23,6.82,6.87,6.86,6.82,110050.99,0.02,0.29,6.846,6.95,7.015,167554.1,204454.32,200509.81,0.2
2017-10-20,6.77,6.84,6.84,6.75,100766.37,0.07,1.03,6.87,6.97,7.034,200800.53,209830.94,210299.98,0.19
2017-10-19,6.87,6.88,6.77,6.75,186094.91,-0.09,-1.31,6.918,6.989,7.049,219171.09,209179.85,214155.34,0.34
2017-10-18,6.93,6.93,6.86,6.85,167237.23,-0.04,-0.58,6.98,7.013,7.067,243960.42,204632.6,210702.17,0.31
2017-10-17,7.0,7.0,6.9,6.88,273621.0,-0.08,-1.15,7.02,7.032,7.081,261648.96,217350.65,209056.21,0.5
2017-10-16,7.07,7.08,6.98,6.97,276283.12,-0.1,-1.41,7.054,7.05,7.09,241354.53,203687.1,204494.24,0.51
